API Source,Category,Data Type,Endpoint,Description,Parameters,Free Tier,Data Fields,Frequency,Use Cases
SEC EDGAR,Regulatory Filings,Company Filings,/api/sec-edgar/filings,"Official SEC filings (10-K, 10-Q, 8-K, etc.)","ticker, formType, limit",Yes,"accessionNumber, filingDate, reportDate, acceptanceDateTime, act, fileNumber, filmNumber, items, size, isXBRL, isInlineXBRL, primaryDocument, primaryDocDescription",Real-time,"Fundamental analysis, regulatory compliance, insider information"
SEC EDGAR,Regulatory Filings,Company Search,/api/sec-edgar/search,Search companies by ticker or name,"query, limit",Yes,"cik, entityType, sic, sicDescription, insiderTransactionForOwnerExists, insiderTransactionForIssuerExists, name, tickers, exchanges, ein, description, website, investorWebsite, category, fiscalYearEnd, stateOfIncorporation, stateOfIncorporationDescription, addresses, phone, flags",Real-time,"Company discovery, CIK lookup, basic company info"
SEC EDGAR,Regulatory Filings,Company Facts,/api/sec-edgar/company-facts,Structured financial data from XBRL filings,ticker,Yes,"entityName, cik, facts (Assets, Liabilities, Equity, Revenue, etc. with units and historical values)",Quarterly/Annual,"Financial statement analysis, time series data, fundamental metrics"
Finnhub,Market Data,Stock Quote,/api/finnhub/quote,Real-time stock price and trading data,symbol,Yes (250 calls/day),"c (current price), d (change), dp (percent change), h (high), l (low), o (open), pc (previous close), t (timestamp)",Real-time,"Price monitoring, trading signals, market snapshots"
Finnhub,Company Data,Company Profile,/api/finnhub/company-profile,Detailed company information and metadata,symbol,Yes (250 calls/day),"ticker, name, exchange, finnhubIndustry, marketCapitalization, shareOutstanding, country, currency, ipo, phone, weburl, logo",Static/Updated,"Company research, industry classification, market cap tracking"
Finnhub,Fundamentals,Company Fundamentals,/api/finnhub/fundamentals,"Financial metrics and KPIs (P/E, EPS, etc.)","symbol, metric",Yes (250 calls/day),"metric (all), series (quarterly/annual data including revenue, earnings, margins, ratios)",Quarterly/Annual,"Valuation analysis, financial health assessment, screening"
Finnhub,News & Sentiment,Company News,/api/finnhub/news,Recent news articles for a specific company,"symbol, from, to",Yes (250 calls/day),"category, datetime, headline, id, image, related, source, summary, url",Real-time,"Sentiment analysis, event detection, news-driven trading"
Finnhub,Earnings,Earnings Data,/api/finnhub/earnings,Historical earnings results and surprises,"symbol, limit",Yes (250 calls/day),"actual, estimate, period, quarter, surprise, surprisePercent, symbol, year",Quarterly,"Earnings season tracking, surprise analysis, forecast accuracy"
Finnhub,Earnings,Earnings Calendar,/api/finnhub/earnings-calendar,Upcoming and past earnings announcements,"from, to, symbol, international",Yes (250 calls/day),"date, epsActual, epsEstimate, hour, quarter, revenueActual, revenueEstimate, symbol, year",Daily,"Earnings season planning, event calendar, multi-stock tracking"
Finnhub,Analyst Data,Recommendations,/api/finnhub/recommendations,Analyst buy/sell/hold recommendations,symbol,Yes (250 calls/day),"buy, hold, period, sell, strongBuy, strongSell, symbol",Monthly,"Consensus analysis, rating trends, analyst sentiment"
Finnhub,Sentiment,News Sentiment,/api/finnhub/sentiment,Aggregated sentiment scores from news,symbol,Yes (250 calls/day),"buzz (articlesInLastWeek, buzz, weeklyAverage), companyNewsScore, sectorAverageBullishPercent, sectorAverageNewsScore, sentiment, symbol",Weekly,"Market sentiment, contrarian signals, news impact"
Yahoo Finance,Market Data,Stock Quote,/api/yfinance/quote,Real-time stock quotes and basic metrics,symbol,Yes (Unlimited),"symbol, shortName, regularMarketPrice, regularMarketChange, regularMarketChangePercent, regularMarketVolume, regularMarketPreviousClose, regularMarketOpen, regularMarketDayRange, fiftyTwoWeekRange, marketCap",Real-time,"Quick price checks, portfolio tracking, market overview"
Yahoo Finance,Historical Data,Historical Prices,/api/yfinance/history,Historical OHLCV price data,"symbol, period, interval",Yes (Unlimited),"date, open, high, low, close, volume, adjClose",Daily/Intraday,"Backtesting, technical analysis, time series modeling"
Yahoo Finance,Discovery,Symbol Search,/api/yfinance/search,Search for stock symbols by name or ticker,query,Yes (Unlimited),"symbol, name, exch, type, exchDisp, typeDisp",Real-time,"Symbol lookup, ticker discovery, company search"
TrendRadar,News Aggregation,Trending News,/api/trendradar/trending,Hot trending news from 11+ Chinese platforms,N/A,Yes (Unlimited),"title, summary, url, source, timestamp, trendScore, platforms",Real-time,"Trend detection, social sentiment, alternative data"
TrendRadar,News Aggregation,Platform-Specific News,/api/trendradar/platform,News from specific Chinese news platforms,platform,Yes (Unlimited),"title, content, url, publishTime, source, viewCount, commentCount",Real-time,"Source-specific analysis, cross-platform correlation"
Alpha Vantage,Market Data,Intraday Prices,/api/alphavantage/stock-intraday,Intraday price data at various intervals,"symbol, interval",Yes (25 calls/day),"timestamp, open, high, low, close, volume",1min/5min/15min/30min/60min,"Intraday trading, high-frequency strategies, microstructure analysis"
Alpha Vantage,Market Data,Daily Prices,/api/alphavantage/stock-daily,Daily historical prices,symbol,Yes (25 calls/day),"date, open, high, low, close, volume",Daily,"Long-term analysis, daily trading strategies, historical backtesting"
Alpha Vantage,Market Data,Daily Adjusted,/api/alphavantage/stock-daily-adjusted,Daily prices with dividend/split adjustments,symbol,Yes (25 calls/day),"date, open, high, low, close, adjusted_close, volume, dividend_amount, split_coefficient",Daily,"Accurate historical analysis, return calculations, portfolio backtesting"
Alpha Vantage,Market Data,Weekly/Monthly Prices,/api/alphavantage/stock-weekly,Weekly and monthly aggregated prices,"symbol, adjusted",Yes (25 calls/day),"date, open, high, low, close, adjusted_close, volume, dividend_amount",Weekly/Monthly,"Long-term trends, macro analysis, low-frequency strategies"
Alpha Vantage,Fundamentals,Income Statement,/api/alphavantage/income-statement,Quarterly and annual income statements,symbol,Yes (25 calls/day),"fiscalDateEnding, reportedCurrency, totalRevenue, costOfRevenue, grossProfit, operatingIncome, netIncome, ebitda, eps",Quarterly/Annual,"Profitability analysis, growth tracking, fundamental screening"
Alpha Vantage,Fundamentals,Balance Sheet,/api/alphavantage/balance-sheet,Quarterly and annual balance sheets,symbol,Yes (25 calls/day),"fiscalDateEnding, reportedCurrency, totalAssets, totalLiabilities, totalShareholderEquity, cashAndCashEquivalents, inventory, currentDebt, longTermDebt",Quarterly/Annual,"Financial health, leverage analysis, working capital assessment"
Alpha Vantage,Fundamentals,Cash Flow,/api/alphavantage/cash-flow,Quarterly and annual cash flow statements,symbol,Yes (25 calls/day),"fiscalDateEnding, reportedCurrency, operatingCashflow, cashflowFromInvestment, cashflowFromFinancing, capitalExpenditures, dividendPayout",Quarterly/Annual,"Cash generation, capex analysis, dividend sustainability"
Alpha Vantage,Fundamentals,Company Overview,/api/alphavantage/company-overview,Comprehensive company profile and key metrics,symbol,Yes (25 calls/day),"Symbol, Name, Description, Sector, Industry, MarketCapitalization, EBITDA, PERatio, PEGRatio, BookValue, DividendYield, EPS, Beta, 52WeekHigh, 52WeekLow",Static/Quarterly,"Company research, valuation multiples, dividend stocks"
Alpha Vantage,Fundamentals,Earnings,/api/alphavantage/earnings,Quarterly and annual earnings history,symbol,Yes (25 calls/day),"fiscalDateEnding, reportedEPS, estimatedEPS, surprise, surprisePercentage",Quarterly,"Earnings tracking, estimate accuracy, surprise analysis"
Alpha Vantage,Corporate Events,Earnings Calendar,/api/alphavantage/earnings-calendar,Upcoming earnings announcements,"horizon (3month/6month/12month)",Yes (25 calls/day),"symbol, name, reportDate, fiscalDateEnding, estimate, currency",Daily/Weekly,"Earnings season planning, event calendar, portfolio alerts"
Alpha Vantage,Corporate Events,IPO Calendar,/api/alphavantage/ipo-calendar,Upcoming and recent IPOs,N/A,Yes (25 calls/day),"symbol, name, ipoDate, priceRangeLow, priceRangeHigh, currency, exchange",Daily/Weekly,"IPO tracking, new listings, investment opportunities"
Alpha Vantage,News & Intelligence,News & Sentiment,/api/alphavantage/news-sentiment,News articles with AI sentiment analysis,"tickers, topics, time_from, time_to, limit",Yes (25 calls/day),"title, url, time_published, authors, summary, source, overall_sentiment_score, ticker_sentiment (ticker, relevance_score, ticker_sentiment_score)",Real-time,"News-driven strategies, sentiment tracking, event detection"
Alpha Vantage,News & Intelligence,Top Gainers/Losers,/api/alphavantage/top-gainers-losers,Daily top performing and worst performing stocks,N/A,Yes (25 calls/day),"ticker, price, change_amount, change_percentage, volume (for top_gainers, top_losers, most_actively_traded)",Daily,"Market movers, screening, momentum strategies"
Alpha Vantage,Insider Trading,Insider Transactions,/api/alphavantage/insider-transactions,Insider buying and selling activity,symbol,Yes (25 calls/day),"ticker, transactionDate, filingDate, insiderName, insiderTitle, transactionType, sharesTraded, pricePerShare, totalValue, sharesOwned",Real-time,"Insider sentiment, management confidence, early signals"
Alpha Vantage,Technical Indicators,SMA,/api/alphavantage/technical-sma,Simple Moving Average,"symbol, interval, time_period, series_type",Yes (25 calls/day),"timestamp, SMA",Calculated,"Trend following, crossover strategies, support/resistance"
Alpha Vantage,Technical Indicators,EMA,/api/alphavantage/technical-ema,Exponential Moving Average,"symbol, interval, time_period, series_type",Yes (25 calls/day),"timestamp, EMA",Calculated,"Trend analysis, faster response to price changes"
Alpha Vantage,Technical Indicators,RSI,/api/alphavantage/technical-rsi,Relative Strength Index,"symbol, interval, time_period, series_type",Yes (25 calls/day),"timestamp, RSI",Calculated,"Overbought/oversold, momentum, divergence signals"
Alpha Vantage,Technical Indicators,MACD,/api/alphavantage/technical-macd,Moving Average Convergence Divergence,"symbol, interval, series_type, fastperiod, slowperiod, signalperiod",Yes (25 calls/day),"timestamp, MACD, MACD_Signal, MACD_Hist",Calculated,"Trend direction, momentum, crossover signals"
Alpha Vantage,Technical Indicators,Bollinger Bands,/api/alphavantage/technical-bbands,Bollinger Bands,"symbol, interval, time_period, series_type",Yes (25 calls/day),"timestamp, Real_Upper_Band, Real_Middle_Band, Real_Lower_Band",Calculated,"Volatility, breakouts, mean reversion"
Alpha Vantage,Technical Indicators,Stochastic,/api/alphavantage/technical-stoch,Stochastic Oscillator,"symbol, interval, fastkperiod, slowkperiod, slowdperiod",Yes (25 calls/day),"timestamp, SlowK, SlowD",Calculated,"Momentum, overbought/oversold, divergence"
